time,x,y,z
1669192410.808369, -59.299329, -123.559127, 0.133000
1669192411.805487, -58.591967, -122.895698, 0.077000
1669192412.805071, -57.909973, -122.299343, 0.079000
1669192413.804444, -57.186565, -121.792279, 0.106000
1669192414.804636, -56.367961, -121.343052, 0.102000
1669192415.802426, -55.572633, -120.978689, 0.127000
1669192416.803353, -54.658068, -120.665728, 0.093000
1669192417.803543, -53.788928, -120.482382, 0.112000
1669192418.803135, -52.829677, -120.436313, 0.156000
1669192419.803246, -51.938231, -120.437181, 0.166000
1669192420.801593, -51.005668, -120.421361, 0.166000
1669192421.802099, -50.074607, -120.308788, 0.166000
1669192422.801203, -49.157455, -120.046175, 0.158000
1669192423.800681, -48.211454, -119.775728, 0.140000
1669192424.803785, -47.278822, -119.570525, 0.086000
1669192425.800935, -46.386639, -119.483741, 0.107000
1669192426.801776, -45.449865, -119.413617, 0.142000
1669192427.803037, -44.480901, -119.297433, 0.159000
1669192428.803171, -43.555538, -119.221013, 0.137000
1669192429.804018, -42.554639, -119.171025, 0.185000
1669192430.802633, -41.606582, -119.123471, 0.153000
1669192431.803666, -40.639488, -119.020571, 0.150000
1669192432.803819, -39.707029, -118.887308, 0.141000
1669192433.803241, -38.788646, -118.737345, 0.149000
1669192434.803782, -37.823638, -118.589838, 0.181000
1669192435.803654, -36.850078, -118.431933, 0.183000
1669192436.802893, -35.840389, -118.286847, 0.158000
1669192437.804705, -35.014270, -118.135506, 0.151000
1669192438.804029, -34.069071, -117.850619, 0.151000
1669192439.803625, -33.189689, -117.548340, 0.155000
1669192440.804745, -32.278219, -117.197225, 0.157000
1669192441.804369, -31.387955, -116.888288, 0.169000
1669192442.802382, -30.417446, -116.548531, 0.151000
1669192443.804278, -29.552474, -116.231582, 0.161000
1669192444.803549, -28.717603, -115.863819, 0.197000
1669192445.803448, -28.010842, -115.394569, 0.192000
1669192446.804324, -27.361680, -114.776017, 0.196000
1669192447.805483, -26.847245, -114.013885, 0.186000
1669192448.802406, -26.403990, -113.224284, 0.185000
1669192449.802208, -26.037445, -112.380489, 0.152000
1669192450.802775, -25.764164, -111.506077, 0.144000
1669192451.801665, -25.425998, -110.518654, 0.101000
1669192452.800997, -25.100870, -109.700419, 0.072000
1669192453.799972, -24.677216, -108.902349, 0.027000
1669192454.803210, -24.151406, -108.166301, 0.038000
1669192455.801114, -23.563842, -107.501949, 0.052000
1669192456.799564, -22.975103, -106.944884, 0.029000
1669192457.799765, -22.365602, -106.389466, 0.026000
1669192458.800836, -21.725926, -105.827531, 0.049000
1669192459.799709, -21.109540, -105.298307, 0.031000
1669192460.799208, -20.504510, -104.750766, 0.017000
1669192461.800001, -19.890510, -104.185806, 0.003000
1669192462.800974, -19.329912, -103.665254, 0.021000
1669192463.800753, -18.677254, -103.113896, 0.090000
1669192464.800353, -17.965466, -102.506761, 0.028000
1669192465.800480, -17.494418, -101.718741, 0.116000
1669192466.799381, -16.957538, -101.106053, 0.010000
1669192467.797466, -16.323792, -100.523304, 0.118000
1669192468.798057, -15.571928, -99.890217, 0.012000
1669192469.795073, -14.814590, -99.225411, -0.133000
1669192470.796591, -14.200182, -98.680433, -0.187000
1669192471.799553, -13.346350, -98.146909, -0.119000
1669192472.797244, -12.248882, -98.117603, 0.113000
1669192473.798295, -11.500325, -97.706208, 0.117000
1669192474.797531, -10.648882, -97.287124, 0.089000
1669192475.796072, -9.796743, -96.826994, 0.124000
1669192476.797764, -8.815634, -96.329286, -0.164000
1669192477.797108, -8.045825, -95.943588, 0.019000
1669192478.792688, -7.157535, -95.618525, 0.064000
1669192479.794546, -6.293346, -95.215192, 0.217000
1669192480.794910, -5.422236, -94.685844, -0.018000
1669192481.793739, -4.585538, -94.368968, -0.063000
1669192482.795891, -3.797754, -93.972848, -0.277000
1669192483.793662, -3.037615, -93.486931, -0.243000
1669192484.793451, -2.148850, -92.913125, -0.197000
1669192485.795686, -1.325692, -92.433084, -0.236000
1669192486.796755, -0.501969, -91.955086, -0.234000
1669192487.796755, 0.319216, -91.485554, -0.372000
1669192488.797594, 1.184572, -90.757292, -0.152000
1669192489.795534, 1.958736, -90.317478, -0.125000
1669192490.795304, 2.698519, -89.797001, -0.174000
1669192491.796941, 3.412680, -89.235031, -0.171000
1669192492.796019, 4.052228, -88.574517, -0.199000
1669192493.796129, 4.575248, -87.888171, -0.195000
1669192494.794942, 5.090877, -87.178951, -0.158000
1669192495.797452, 5.603845, -86.503161, -0.067000
1669192496.799606, 6.243041, -85.801583, -0.062000
1669192497.801631, 6.707892, -85.052479, -0.086000
1669192498.799371, 6.951685, -84.223249, -0.094000
1669192499.801139, 7.158729, -83.311835, -0.129000
1669192500.806242, 7.298277, -82.561659, -0.101000
1669192501.792710, 7.451662, -81.912882, -0.125000
1669192502.797173, 7.590845, -81.254802, -0.095000
1669192503.795200, 7.636557, -80.560739, -0.108000
1669192504.796506, 7.557592, -79.889162, -0.120000
1669192505.794238, 7.309180, -79.260580, -0.094000
1669192506.797277, 6.900291, -78.701778, -0.076000
1669192507.796409, 6.448919, -78.178505, -0.093000
1669192508.796248, 6.051917, -77.659667, -0.098000
1669192509.797402, 5.628129, -77.123915, -0.116000
